SYMBOL,CLOSE_PRICE,MOMENTUM_PRICE,MOMENTUM_INTRADAY,MOMENTUM_VOLUME,VOLATILITY_DAILY,FINAL_SCORE,RECOMMENDATION
OMPOWER,194.2,-0.03603232614403747,-2.166246851385396,100.0,0.0044,36.94941546542321,WATCH
TITAN,4363.0,-0.5062482897017199,-1.000658029089432,100.0,0.0144,36.93229941214387,WATCH
ABSLPSE,11.09,0.7266121707538608,1.4638609332113461,56.20695879151394,0.0117,36.90981272664609,WATCH
RIIL,790.35,0.8871585396987548,-0.20833333333333046,29.712665222703542,0.0256,36.90918332517805,WATCH
GLOBALVECT,183.0,0.68221830985916,-2.3479188900747094,2.2978451627235366,0.0342,36.89818271448415,WATCH
ARIS,133.59,-2.751692509281503,-3.8920863309352494,100.0,0.0277,36.8649002722963,WATCH
BFINVEST,421.4,1.3102536362543549,0.357227911407478,2.1083250027768523,0.0241,36.85343736949324,WATCH
GUJRAFFIA,40.93,-0.02442598925255987,-2.057908590571906,1.7955820282128179,0.0342,36.833907743724225,WATCH
OSIAHYPER,5.9,-4.9919484702093335,0.0,87.03036487837387,0.0366,36.82518506010122,WATCH
SUPREMEIND,3620.1,-0.06901120742008503,-1.3327882256745731,50.68275852493613,0.0197,36.80650798907957,WATCH
ITBEES,32.18,-0.8014796547472195,-1.167076167076175,100.0,0.0142,36.787023054557764,WATCH
REPRO,356.85,-0.18181818181817547,-0.32122905027932325,4.2402532489170275,0.0312,36.78415766180543,WATCH
INDNIPPON,794.5,0.30932390631905127,0.30932390631905127,5.722398089525714,0.0241,36.78068668664529,WATCH
SIKA,1021.5,-0.40947645510383596,-1.882624147536251,4.776879928912585,0.0346,36.77737226125933,WATCH
GRINFRA,945.25,0.8589415279556076,-0.39515279241306644,29.127790736421193,0.0184,36.77406517314924,WATCH
INDOCO,211.86,1.1313189173707596,0.36001894836571263,11.993224480728646,0.0262,36.76631065498693,WATCH
KOTARISUG,28.01,0.7191657677094673,-1.0247349823321525,37.977965678107296,0.023,36.723565679538,WATCH
